Dress Score,Stad Jump,Stad Time,XC Jump,XC Time,Final Score,Final Place,RF,Elimination 
40,0,0,0,0,40,5,0,0
,,,,,,,,
40,0,0,0,3.6,43.6,6,0,0
,,,,,,,,
36.2,0,0,20,0,56.2,7,0,0
,,,,,,,,
31,0,0,0,0,31,1,0,0
,,,,,,,,
33.6,0,0,0,0,33.6,2,0,0
,,,,,,,,
35.2,0,0,0,2.4,37.6,3,0,0
,,,,,,,,
38.8,0,0,0,0,38.8,4,0,0
,,,,,,,,
38.8,0,0,0,0,38.8,5,0,0
,,,,,,,,
33.6,0,0,0,11.6,45.2,6,0,0
,,,,,,,,
34.5,4,0,20,1.6,60.1,7,0,0
,,,,,,,,
33.6,8,0,20,11.2,72.8,8,0,0
,,,,,,,,
29.8,0,0,0,0,29.8,1,0,0
,,,,,,,,
32.1,0,0,0,0,32.1,2,0,0
,,,,,,,,
32.4,0,0,0,0,32.4,3,0,0
,,,,,,,,
30.5,4,0,0,0,34.5,4,0,0
,,,,,,,,
32.6,4,0,0,0,36.6,5,0,0
,,,,,,,,
37.4,0,0,0,0,37.4,6,0,0
,,,,,,,,
38.6,4,0,0,0,42.6,7,0,0
,,,,,,,,
34.8,8,0,0,0,42.8,8,0,0
,,,,,,,,
33.6,0,0,20,30,83.6,9,0,0
,,,,,,,,
32.6,4,0,0,0,36.6,1,0,0
,,,,,,,,
38.1,0,0,0,0,38.1,2,0,0
,,,,,,,,
35,4,0,0,0,39,3,0,0
,,,,,,,,
31.2,8,0,0,0,39.2,4,0,0
,,,,,,,,
37.9,4,0,0,0,41.9,5,0,0
,,,,,,,,
38.3,4,0,0,0,42.3,6,0,0
,,,,,,,,
40.5,4,0,0,0,44.5,7,0,0
,,,,,,,,
30.5,4,0,20,0,54.5,8,0,0
,,,,,,,,
35.5,24,15.6,0,15.2,90.3,9,0,0
,,,,,,,,
26.2,0,0,0,0,26.2,1,0,0
,,,,,,,,
26.2,0,0,0,0,26.2,2,0,0
,,,,,,,,
26.4,0,0,0,0,26.4,3,0,0
,,,,,,,,
26.4,0,0,0,0,26.4,4,0,0
,,,,,,,,
27.6,0,0,0,0,27.6,5,0,0
,,,,,,,,
30.7,0,0,0,0,30.7,6,0,0
,,,,,,,,
28.1,0,0,0,4,32.1,7,0,0
,,,,,,,,
32.4,0,0,0,0,32.4,8,0,0
,,,,,,,,
32.4,0,0,0,0,32.4,9,0,0
,,,,,,,,
32.4,0,0,0,0,32.4,10,0,0
,,,,,,,,
31.2,4,0,0,0.4,35.6,11,0,0
,,,,,,,,
33.3,4,0,0,2,39.3,12,0,0
,,,,,,,,
36,4,0,0,0,40,13,0,0
,,,,,,,,
33.8,20,0,20,2,75.8,14,0,0
,,,,,,,,
32.6,4,0,20,20.4,77,15,0,0
,,,,,,,,
27.8,4,0,0,0,31.8,1,0,0
,,,,,,,,
30.3,0,0,0,2,32.3,2,0,0
,,,,,,,,
34.4,0,0,0,0,34.4,3,0,0
,,,,,,,,
36.4,0,0,0,0,36.4,4,0,0
,,,,,,,,
38.9,0,0,0,0,38.9,5,0,0
,,,,,,,,
35.3,4,0,0,0,39.3,6,0,0
,,,,,,,,
36.1,4,0,0,0,40.1,7,0,0
,,,,,,,,
41.4,4,0,0,0,45.4,8,0,0
,,,,,,,,
42.8,4,0,0,0,46.8,9,0,0
,,,,,,,,
37.5,0,0,0,14,51.5,10,0,0
,,,,,,,,
36.1,0,0,20,2.8,58.9,11,0,0
,,,,,,,,
37.8,0,0,0,22.4,60.2,12,0,0
,,,,,,,,
34.2,0,0,0,57.6,91.8,13,0,0
,,,,,,,,
27.2,0,0,0,0,27.2,1,0,0
