EventID,EventDateDisplayRange,Title,Area,City,State,Zip,Begindate,Enddate,Opendate,Closedate,SearchLevels,DisplayLevels,Result,Lon,Lat,ProvisionalCalendar,EventVenueAddress,EventVenueFacilityName,EventVenueCity,EventVenueState,EventVenueZip,XEntryStatus,EventWebsite,UseaApprovalStatus,FEIOpenDate,FEICloseDate
17710,JULY 24,Silverwood Farm Summer H.T.,4,Camp Lake,WI,53109,7/24/2021,7/24/2021,6/8/2021,7/6/2021,"Starter,BN,N,T,PT","Starter,BN,N,T,PT",0,-88.155205,42.535473,True,28426 98th Street,Silverwood Farm,Trevor,WI,53179,False,http://www.silverwoodfarm.net/,approved,,
17714,"JULY 31 - AUGUST 1, 2021",Catalpa Corner Charity Horse Trials,4,Iowa City,IA,52240,7/31/2021,8/1/2021,6/15/2021,7/13/2021,"Starter,BN,N,T,P","Starter,BN,N,T,P",0,-91.410169,41.714727,True,5365 Elmira Rd.,Catalpa Corner,Iowa City,IA,52240,False,http://www.catalpacorner.org,approved,,
17724,"AUGUST 13-15, 2021",Otter Creek Summer H.T.,4,Wheeler,WI,54772,8/13/2021,8/15/2021,6/29/2021,7/27/2021,"Starter,BN,N,T,PT,P,IP,I","Starter,BN,N,T,PT,P,IP,I",0,-91.896561,45.103241,True,Otter Creek Farm 1170th Ave,Otter Creek Farm,Wheeler,WI,54772,False,http://www.ottercreekfarm.com,approved,,
17743,SEPTEMBER 4,Silverwood Farm Fall H.T.,4,Camp Lake,WI,53109,9/4/2021,9/4/2021,7/20/2021,8/17/2021,"Starter,BN,N,T,PT","Starter,BN,N,T,PT",0,-88.155205,42.535473,True,28426 98th Street,Silverwood Farm,Trevor,WI,53179,False,http://www.silverwoodfarm.net/,approved,,
17757,"SEPTEMBER 17-19, 2021",Otter Creek Fall H.T. ,4,Wheeler,WI,54772,9/17/2021,9/19/2021,8/3/2021,8/31/2021,"Starter,BN,N,T,PT,P,IP,I","Starter,BN,N,T,PT,P,IP,I",0,-91.896561,45.103241,True,Otter Creek Farm 1170th Ave,Otter Creek Farm,Wheeler,WI,54772,False,http://www.ottercreekfarm.com/,approved,,
17772,"OCTOBER 1-3, 2021",Sundance Farm H.T. ,4,Plymouth,WI,53073,10/1/2021,10/3/2021,8/17/2021,9/14/2021,"Starter,BN,N,T,P","Starter,BN,N,T,P",0,-88.011779,43.776863,True,N6329 Branch Road  ,Sundance Farm,Plymouth,WI,53073,False,http://www.sundancefarm.net,approved,,
17779,"OCTOBER 8-10, 2021",Heritage Park H.T. ,4,Olathe,KS,66062,10/8/2021,10/10/2021,8/24/2021,9/21/2021,"Starter,BN,N,T,PT,P,IP","Starter,BN,N,T,PT,P,IP",0,-94.734299,38.823833,True,"16801 Pflumm Rd, Olathe",Heritage Park Horse Park,Olathe,KS,66062,False,https://www.midamericaeventing.com/heritage-park-usea-ht,approved,,
17791,"OCTOBER 22-24, 2021",Windermere Run H.T - Pending USEF Approval,4,Kansas City,MO,64149,10/22/2021,10/24/2021,9/7/2021,10/5/2021,"Starter,BN,N,T,P","Starter,BN,N,T,P",0,-94.475287,38.893713,True,12600 Old Raytown Rd,Longview Horse Park,Grandview,MO,64146,False,http://www.windermerestables.net,approved,,
17589,"MARCH 13-14, 2021",MeadowCreek Park - The Spring Social Event,5,Kosse,TX,76653,3/13/2021,3/14/2021,1/26/2021,2/23/2021,"Starter,BN,N,T,PT,P","Starter,BN,N,T,PT,P",0,-96.640597,31.26988,True,1332 Highway 14 South,Meadowcreek Park,Kosse,TX,76653,True,http://www.MCPTexas.com,approved,,
17597,"MARCH 26-28, 2021",Texas Rose Horse Park H.T.,5,Tyler,TX,75704,3/26/2021,3/28/2021,2/9/2021,3/9/2021,"Intro,FEH-YEAR,YEH-5,NEH,4S,2S,3S,4S,BN,N,T,PT,P,IP,I,AI","FEH-2,FEH-3,FEH-4,FEH-YEAR,NEH,Intro,YEH-4,YEH-5,BN,N,T,PT,P,IP,I,AI",0,-95.503062,32.472261,True,14078 TX-110,Texas Rose Horse Park,Tyler,TX,75704,True,http://www.texasrosehorsepark.com,approved,,
17604,"APRIL 3-4, 2021",Pine Hill Spring H.T.,5,Bellville,TX,77418,4/3/2021,4/4/2021,2/16/2021,3/16/2021,"FEH-YEAR,YEH-5,NEH,4S,2S,3S,4S,Starter,BN,N,T,P","FEH-2,FEH-3,FEH-4,FEH-YEAR,NEH,Starter,YEH-4,YEH-5,BN,N,T,P",0,-96.239609,29.958752,True,1720 Hwy 159 East Bellville,Pine Hill,Bellville,TX,77418,False,http://www.pinehilltexas.com/,approved,,
17614,"APRIL 17-18, 2021",Holly Hill H.T.,5,Benton,LA,71006,4/17/2021,4/18/2021,3/2/2021,3/30/2021,"Starter,BN,N,T,P,I","Starter,BN,N,T,P,I",0,-93.764526,32.734516,True,1296 Old Plain Dealing Rd,Holly Hill Farm,Blenton,LA,71006,False,http://www.hollyhillfarm.net/,approved,,
17634,"MAY 15-16, 2021",Texas Rose Horse Park H.T.,5,Tyler,TX,75704,5/15/2021,5/16/2021,3/30/2021,4/27/2021,"BN,N,T,PT,P,IP,I,AI","BN,N,T,PT,P,IP,I,AI",0,-95.503062,32.472261,True,14078 TX-110,Texas Rose Horse Park,Tyler,TX,75704,False,http://www.texasrosehorsepark.com,approved,3/24/2021,4/21/2021
