,show,dates
304,Stable View Eventing Academy Schooling H.T.,07/21/2019-07/21/2019
305,Full Gallop Farm Schooling Show (July 21st 2019),07/21/2019-07/21/2019
306,Full Moon Farms H.T.(Jul 2019),07/21/2019-07/21/2019
307,GLEN ORO SUMMER HORSE TRIALS ,07/21/2019-07/21/2019
308,Larkin Hill HT,07/21/2019-07/21/2019
309,Silverwood Farm Summer Horse Trials,07/20/2019-07/20/2019
310,Penny Oaks Horse Trials,07/20/2019-07/21/2019
311,War Horse Event Series (July 2019),07/14/2019-07/14/2019
312,Bronte Creek Equest. Sport LTD HT,07/14/2019-07/14/2019
313,POP XC Schooling and Schooling Show (July),07/13/2019-07/14/2019
314,The Maryland H.T. at Loch Moy Farm II(Jul 2019),07/12/2019-07/14/2019
315,WILL Oï¿½ WIND Summer HT,07/07/2019-07/07/2019
316,Full Gallop July 6th Schooling ,07/06/2019-07/06/2019
317,South Farm H.T. (Jul 2019),07/06/2019-07/07/2019
318,Chatt Hills HT Summer 2 ,07/05/2019-07/07/2019
319,The Maryland International + H.T.(Jul 2019),07/05/2019-07/07/2019
320,Dreamcrest Horse Trials,06/30/2019-06/30/2019
321,Chattahoochee Hills HT Summer 1,06/29/2019-06/30/2019
322,Fair Hill International June Starter HT,06/29/2019-06/29/2019
323,Loudoun Hunt Pony Club Summer H.T.,06/29/2019-06/30/2019
324,Groton House Farm Horse Trials,06/28/2019-06/30/2019
325,Horse Park of New Jersey H.T. I,06/28/2019-06/30/2019
326,Kent School Horse Trials,06/23/2019-06/23/2019
327,Wits End Horse Trials,06/23/2019-06/23/2019
328,Stevens Creek Horse Trials,06/23/2019-06/23/2019
329,Stable View Summer Horse Trials,06/22/2019-06/22/2019
330,Essex Horse Trials,06/21/2019-06/23/2019
331,Surefire Farm Horse Trials ,06/21/2019-06/23/2019
332,Fox River Valley Pony Club HT,06/20/2019-06/23/2019
333,War Horse Event Series (June 2019),06/16/2019-06/16/2019
334,Valinor Farm Horse Trials(June 2019),06/16/2019-06/16/2019
335,Caledon Horse Trials,06/16/2019-06/16/2019
336,Larkin Hill HT,06/16/2019-06/16/2019
337,Honey Run H.T.(June 2019),06/15/2019-06/16/2019
338,Silverwood Farm Spring Horse Trials,06/15/2019-06/15/2019
339,Full Gallop Farm June Horse Trials,06/15/2019-06/16/2019
340,Little Bromont Horse Trials,06/15/2019-06/15/2019
341,Plantation Field June Starter Horse Trials,06/09/2019-06/09/2019
342,POP XCSchooling and Schooling Show,06/08/2019-06/09/2019
343,Plantation Field H.T.(June 2019),06/08/2019-06/08/2019
344,Waredaca June Starter Horse Trials ,06/08/2019-06/08/2019
345,Feather Creek Farm H.T.(Aug 2019),06/07/2019-06/09/2019
346,Stable View Spring Horse Trials,6/6/2019
347,BROMONT CCI THREE DAY EVENT,06/05/2019-06/09/2019
348,Full Gallop Farm June Schooling Show,06/02/2019-06/02/2019
349,NJ Region's H.T.(June 2019),06/02/2019-06/02/2019
350,Cherrylane Horse Trials,06/01/2019-06/01/2019
351,Colorado Horse Park H.T.(June 2019),06/01/2019-06/02/2019
352,GMHA June Horse Trials,06/01/2019-06/02/2019
353,Ocala Summer H.T. I(June 2019),06/01/2019-06/02/2019
354,Waredaca H.T.(June 2019),06/01/2019-06/02/2019
355,Will O'Wind Horse Trials,6/1/2019
356,Poplar Place Farm June HT & Area Championships,05/31/2019-06/02/2019
357,Flora Lea Spring Horse Trials,05/25/2019-05/26/2019
358,MDHT May Starter Trial,05/25/2019-05/26/2019
359,Mystic Valley Hunt Club H.T.(May 2019),05/25/2019-05/25/2019
360,The Spring Event at Woodside (May 2019),05/24/2019-05/26/2019
361,Grandview Spring Horse Trials,05/24/2019-05/26/2019
362,Virginia International & H.T.(May 2019),05/23/2019-05/26/2019
363,Chattahoochee Hills May H.T.,05/18/2019-05/19/2019
364,Fair Hill International H.T.(May 2019),05/18/2019-05/19/2019
365,Spring Gulch Horse Trials,05/18/2019-05/19/2019
366,Hunt Club Farms May Starter Horse Trials,05/18/2019-05/18/2019
367,Otter Creek Spring H.T.(May 2019),05/17/2019-05/19/2019
368,RBC Wealth Mgmt Twilight Eventing at Loch Moy Farm,05/15/2019-05/15/2019
369,Plantation Field May Starter Horse Trials,05/12/2019-05/12/2019
370,Stable View Eventing Academy Schooling H.T.,05/12/2019-05/12/2019
371,War Horse Event Series May HT,05/12/2019-05/12/2019
372,WindRidge Farm HT,05/11/2019-05/12/2019
373,Plantation Field May HT,05/11/2019-05/11/2019
374,POP Cross Country Schooling and Schooling Show,05/11/2019-05/12/2019
375,Galway Downs Spring Horse Trials (2019),05/10/2019-05/12/2019
376,Texas Rose Horse Park Summer Horse Trials,05/10/2019-05/12/2019
377,Jersey Fresh International Three-day Event,05/08/2019-05/12/2019
378,Riga Meadow at Coole Park Combined Test(May 2019),05/05/2019-05/05/2019
379,Fair Hill International May Starter HT,05/04/2019-05/04/2019
380,"MCTA H.T., Inc(May 2019)",05/04/2019-05/05/2019
381,Poplar Place May Horse Trials,05/04/2019-05/05/2019
382,RBC Wealth Mgmt Twilight Eventing at Loch Moy Farm,05/01/2019-05/01/2019
383,Loudoun Hunt Pony Club Spring Horse Trial (April 2,04/27/2019-04/28/2019
384,Long Leaf Pine Horse Trials - CHP,04/20/2019-04/21/2019
385,Sporting Days Farm April Horse Trials (2019),04/20/2019-04/20/2019
386,Fair Hill International April Horse Trials,04/19/2019-04/21/2019
387,Holly Hill Spring H.T. (April 2019),04/19/2019-04/20/2019
388,Stable View Schooling Horse Trial,04/14/2019-04/14/2019
389,FENCE Horse Trial (April 2019),04/13/2019-04/14/2019
390,Hunt Club Farm Starter HT,04/13/2019-04/13/2019
391,MDHT April Starter Trial,04/13/2019-04/14/2019
392,Plantation Field Spring Horse Trials (Apr 2019),04/13/2019-04/14/2019
393,Ocala International 3-Day Festival of Eventing,04/10/2019-04/14/2019
394,Full Moon Farms 2019 Spring Thing,04/07/2019-04/07/2019
395,Chattahoochee Hills H.T. (April 2019),04/05/2019-04/07/2019
396,The Fork at Tryon (April 2019),04/03/2019-04/07/2019
397,Full Gallop Farm March II H.T. (2019),03/31/2019-03/31/2019
398,Morven Park Spring Horse Trials,03/30/2019-03/31/2019
399,Galway Downs International Event and H.T. (2019),03/29/2019-03/31/2019
400,Rocking Horse Spring Horse Trials ,03/29/2019-03/31/2019
401,Texas Rose Horse Trials (March 2019),03/29/2019-03/31/2019
