Unnamed: 0,Division,Event,Rider,Horse,Dress Score,Dress Place,Stad Jump,Stad Time,To Date Score,To Date Place,XC Jump,XC Elapsed,XC Time,Final Score,Final Place,Difficulty,Junior,Senior,CT,Rider_x,Fall,Horse_x,Lon,Lat,temp-end,precip-end,wspd-end,visibility-end,cloudcover-end,wgust-end,moonphase-end,Precip_Prior_3_Day,Precip_Prior_5_Day,Precip_Prior_7_Day,Event_Falls,Ride_Count,Fall_Rate,Fall_Rate_Decimal,Fall_Rate_Percent
24599,Preliminary,Full Gallop Farm February Horse Trials,Meg Bowers,Keep The Change,30.4,2,4,0,34.4,2-T,0,4:35,0,34.4,1,5,0,0,0,Meg Bowers,0,Keep The Change,-81.58405,33.57045,63.6,0.39,12.2,9.2,64.9,19.7,0.39,0.0,1.09,1.1900000000000002,0,103,0.0,0.0,0.0
24663,Intermediate / Preliminary,Three Lakes Winter 1,Maxine Preston,Shannondale Magnum,33.6,5,0,0,33.6,2,0,6:09,14.8,48.4,1,6,0,0,0,Maxine Preston,0,Shannondale Magnum,-81.83154,28.61913,66.5,0.01,10.2,9.8,71.2,,0.97,0.0,0.2,1.67,2,264,0.007575757575757576,0.007575757575757576,0.7575757575757576
24890,Starter,Sporting Days Farm Feb. HT,Heather Sinclair,Force Ten,31.4,2,0,0,31.4,1,0,3:32,0,31.4,1,1,0,0,0,Heather Sinclair,0,Force Ten,-72.56326,43.81005,25.8,0.02,5.3,9.6,94.3,,0.99,0.01,0.13,0.15,11,172,0.06395348837209303,0.06395348837209303,6.395348837209303
25061,Advanced CT,Galway Downs Winter H.T.(Jan 2020),Erin R. Kellerhouse,Woodford Reserve,28.9,1,0,0.4,29.3,1, ,0:00, , , ,7,0,0,0,Erin R. Kellerhouse,0,Woodford Reserve,-117.03396,33.48728,59.4,0.0,8.2,9.9,1.4,,0.15,0.0,0.0,0.0,2,170,0.011764705882352941,0.011764705882352941,1.1764705882352942
25232,Preliminary,Full Gallop Farm January H.T(Jan 2020),Susan Jellum,Rochambeau,33.3,2,0,0,33.3,2,0,4:57,0.4,33.7,1,5,0,0,0,Susan Jellum,0,Rochambeau,-81.58405,33.57045,44.5,0.0,10.7,9.9,24.7,11.4,0.01,0.62,0.62,0.79,1,54,0.018518518518518517,0.018518518518518517,1.8518518518518516
25286,Intermediate Rider,Rocking Horse Winter I H.T.(Jan 2020),Katherine DeLaney,Canto Royale,34.7,2,0,0,34.7,2,0,5:58,2.8,37.5,1,6,0,0,0,Katherine DeLaney,0,Canto Royale,-81.64143,28.99305,65.0,0.0,9.5,8.6,54.3,,1.0,0.02,0.02,0.02,9,498,0.018072289156626505,0.018072289156626505,1.8072289156626504
25784,Modified,Grand Oaks Horse Trials(Jan 2020),Lauren Kieffer,I'll Have Another,22.6,2,0,0,22.6,1,0,5:55,0,22.6,1,0,0,0,0,Lauren Kieffer,0,I'll Have Another,-82.21323000000002,29.40346,63.5,0.0,11.9,9.7,21.1,18.6,0.78,0.0,0.0,0.01,5,191,0.02617801047120419,0.02617801047120419,2.6178010471204187
25978,Modified,Stable View Aiken Opener H.T.,Lillian Heard,Chilly,26.7,4,4,0,30.7,3,0,4:59,0,30.7,1,0,0,0,0,Lillian Heard,0,Chilly,-81.79998,33.64859000000001,43.7,0.0,12.2,9.3,10.4,17.2,0.35,0.11,0.13,0.14,5,267,0.018726591760299626,0.018726591760299626,1.8726591760299627
26444,Training,Full Gallop Farm January Schooling Show,Lisa Burch,FGF Slew Z Cowboy,36.7,1,4,4.8,45.5,1,20,6:25,31.6,97.1,1,4,0,0,0,Lisa Burch,0,FGF Slew Z Cowboy,-81.58405,33.57045,42.0,0.0,11.9,9.9,0.0,18.6,0.33,0.8,0.8,1.27,0,19,0.0,0.0,0.0
26577,Intermediate CT,Sporting Days Farm Horse Trials IV(Dec 2019),Hanna Grace Johnson,Urlanmore Beauty,35.9,1, , , , , ,0:00, , , ,6,0,0,0,Hanna Grace Johnson,0,Urlanmore Beauty,-81.59201,33.521390000000004,52.6,0.0,10.0,9.9,57.9,11.4,0.37,0.0,0.0,0.46,1,111,0.009009009009009009,0.009009009009009009,0.9009009009009009
26821,Open Intermediate,Pine Top Thanksgiving Horse Trials,Matthew Ulmer,Uno Concerto,34.7,3,0,0,34.7,3,0,5:54,3.6,38.3,1,6,0,0,0,Matthew Ulmer,0,Uno Concerto,-82.46623000000002,33.45322,58.6,0.0,6.9,9.9,51.2,,0.06,0.02,0.02,0.59,2,143,0.013986013986013986,0.013986013986013986,1.3986013986013985
26965,Beginner Novice - Horse Trial-A,Stable View Schooling Horse Trial(November),Lauren Davis,Bird is the Word,29.2,1,0,0,29.2,1,0,5:11,0,29.2,1,2,0,0,0,Lauren Davis,0,Bird is the Word,-81.79998,33.64859000000001,49.4,0.0,15.8,9.7,57.7,24.2,0.61,1.61,1.76,1.76,1,56,0.017857142857142856,0.017857142857142856,1.7857142857142856
27037,CCI Four Star - Short,Ocala Jockey Club International 3-Day Event,Marilyn Little,RF Scandalous,24.4,1,0,0,24.4,1,0,7:50,16.8,41.2,1,7,0,0,0,Marilyn Little,0,RF Scandalous,-82.13986,29.05603,63.0,0.01,10.3,8.8,79.3,19.7,0.52,0.08,0.36000000000000004,0.48,6,142,0.04225352112676056,0.04225352112676056,4.225352112676056
27429,Intermediate/Preliminary,Majestic Oaks Horse Trials,Shanon Baker,Carlingford Wells,32.1,1,0,TE,TE,TE,0,5:26,TE,TE,TE,6,0,0,0,Shanon Baker,0,Carlingford Wells,-82.21323000000002,29.40346,62.7,0.0,11.4,9.9,66.0,20.8,0.14,0.0,0.0,0.0,4,97,0.041237113402061855,0.041237113402061855,4.123711340206185
27737,Preliminary,Full Gallop Farm November HT,Susan Thomas,Excel Star Kate,27.2,1,0,0,27.2,1,0,5:13,7.2,34.4,1,5,0,0,0,Susan Thomas,0,Excel Star Kate,-81.58405,33.57045,48.1,0.0,14.7,9.8,0.1,,0.18,0.03,0.35,0.42,2,70,0.02857142857142857,0.02857142857142857,2.857142857142857
