Event,Lon,Lat,temp-end,precip-end,wspd-end,visibility-end,cloudcover-end,moonphase-end,Precip_Prior_3_Day,Precip_Prior_5_Day,Precip_Prior_7_Day,Event_Falls,Ride_Count,Fall_Rate_Decimal,Fall_Rate_Percent,End_Datetime
Horse Park of New Jersey H.T. II,-74.49821,40.19321,75.2,1.22,9.1,9.5,61.0,0.07,0.39,0.39,0.39,5,114,0.043859649122807015,4.385964912280701,2020-07-24
Stableview Eventing Academy- July,-81.79998,33.64859000000001,86.9,0.0,6.5,9.8,5.1,0.99,0.0,0.0,0.0,1,77,0.012987012987012988,1.2987012987012987,2020-07-19
Silverwood Farm Summer Horse Trials,-88.15521,42.53547,77.4,0.39,15.6,9.6,45.5,0.54,1.5499999999999998,1.5499999999999998,1.5499999999999998,2,225,0.008888888888888889,0.8888888888888888,2019-07-20
Galway Downs Horse Trials (July 2020),-117.03396,33.48728,71.0,0.0,11.1,9.2,14.5,0.93,0.0,0.0,0.0,8,217,0.03686635944700461,3.686635944700461,2020-07-17
Poplar Place Farm May H.T.(JULY 2020),-84.86506999999997,32.7023,84.7,0.0,14.8,9.9,0.7,0.66,0.27,1.98,2.03,7,116,0.0603448275862069,6.0344827586206895,2020-07-11
Maryland H.T. at Loch Moy Farm II(Jul 2020),-77.42949,39.27075,78.5,0.0,8.0,9.9,38.8,0.62,1.09,1.65,1.65,16,412,0.038834951456310676,3.8834951456310676,2020-07-10
Full Gallop Farm Schooling Show (June2020),-81.58405,33.57045,79.6,0.07,21.0,9.9,37.6,0.23,2.14,3.41,3.44,0,36,0.0,0.0,2020-06-28
Chattahoochee Hills HT Summer 1,-84.70005,33.63993,74.1,0.46,22.4,8.5,38.3,0.17,0.51,1.07,1.14,18,438,0.0410958904109589,4.10958904109589,2020-06-27
Horse Park of New Jersey H.T. I,-74.49821,40.19321,78.9,0.02,8.8,9.8,11.0,0.88,0.61,0.61,1.01,17,482,0.035269709543568464,3.5269709543568464,2019-06-28
Texas Rose Horse Park H.T.,-95.50306,32.47226,81.4,0.0,13.6,9.9,9.1,0.98,0.02,0.21,0.21,9,179,0.05027932960893855,5.027932960893855,2020-06-19
Full Gallop Farm HT,-85.52320999999998,38.42696,68.9,0.07,11.1,9.9,44.0,0.79,0.0,0.11,0.11,3,146,0.02054794520547945,2.054794520547945,2020-06-14
Full Gallop Farm HT,-85.52320999999998,38.42696,68.9,0.07,11.1,9.9,44.0,0.79,0.0,0.11,0.11,3,146,0.02054794520547945,2.054794520547945,2020-03-28
Silverwood Farm Spring Horse Trials,-88.15521,42.53547,56.3,0.0,14.0,9.9,16.4,0.74,0.55,0.74,0.74,0,208,0.0,0.0,2020-06-13
Feather Creek Farm H.T.(June 2020),-97.331,35.23746,52.7,0.0,16.9,9.8,10.8,0.02,0.04,0.04,0.04,3,80,0.0375,3.75,2020-06-06
Full Gallop Farm Schooling Show (May 2020),-81.58405,33.57045,77.4,0.74,12.3,9.0,49.2,0.24,0.56,0.92,1.4500000000000002,0,26,0.0,0.0,2020-05-30
Stable View Eventing Academy Schooling HorseTrial,-81.79998,33.64859000000001,76.9,0.33,13.0,9.7,18.2,0.0,0.92,5.57,5.57,4,169,0.023668639053254437,2.366863905325444,2020-05-23
Meadow Creek Park - The Spring Social Event,-96.6406,31.26988,50.1,0.0,7.9,9.9,27.9,0.34,1.45,1.47,1.63,12,190,0.06315789473684211,6.315789473684211,2019-03-16
Meadow Creek Park - The Spring Social Event,-96.6406,31.26988,50.1,0.0,7.9,9.9,27.9,0.34,1.45,1.47,1.63,12,190,0.06315789473684211,6.315789473684211,2020-03-13
Pine Top Spring Horse Trials,-96.23961,29.95875,55.6,0.0,15.7,9.9,38.5,0.28,0.6,0.6,0.6,14,570,0.02456140350877193,2.456140350877193,2019-03-15
Ocala Winter II H.T.(Mar 2020),-82.13986,29.05603,68.4,0.0,5.7,9.7,10.2,0.54,0.0,0.0,0.03,14,523,0.02676864244741874,2.676864244741874,2020-03-12
Full Gallop Farm Schooling Show (March 11),-81.58405,33.57045,64.2,0.0,19.0,9.6,30.4,0.52,0.0,0.0,1.8,1,45,0.022222222222222223,2.2222222222222223,2020-03-11
Full Gallop Farm March H.T.,-81.58405,33.57045,43.2,0.0,14.2,9.9,0.2,0.45,1.8,2.88,2.88,0,110,0.0,0.0,2020-03-07
Chattahoochee Hills H.T.(Feb 2020),-84.71646,33.63024,44.8,0.0,21.4,9.9,13.3,0.12,0.02,1.06,1.06,4,153,0.026143790849673203,2.6143790849673203,2020-02-29
Full Gallop Farm February II H.T.(Feb 2020),-81.58405,33.57045,59.1,0.33,18.3,8.1,79.9,0.01,0.37,1.11,2.52,0,100,0.0,0.0,2020-02-25
Pine Top Advanced Horse Trials,-82.46623000000002,33.45322,57.2,0.05,11.0,4.1,92.5,0.54,0.24,0.41,0.9,10,458,0.021834061135371178,2.1834061135371177,2019-02-22
Pine Top Advanced Horse Trials,-82.46623000000002,33.45322,57.2,0.05,11.0,4.1,92.5,0.54,0.24,0.41,0.9,10,458,0.021834061135371178,2.1834061135371177,2020-02-21
Rocking Horse Winter 2 Horse Trials,-81.64143,28.99305,58.0,0.01,9.6,9.9,3.2,0.31,0.4400000000000001,0.66,0.66,20,514,0.038910505836575876,3.8910505836575875,2019-02-14
Rocking Horse Winter 2 Horse Trials,-81.64143,28.99305,58.0,0.01,9.6,9.9,3.2,0.31,0.4400000000000001,0.66,0.66,20,514,0.038910505836575876,3.8910505836575875,2020-02-13
Full Gallop February Schooling HT,-81.58405,33.57045,65.6,0.0,8.8,8.1,64.4,0.55,0.17,0.18000000000000002,2.62,1,79,0.012658227848101266,1.2658227848101267,2020-02-12
Full Gallop February Schooling HT,-81.58405,33.57045,65.6,0.0,8.8,8.1,64.4,0.55,0.17,0.18000000000000002,2.62,1,79,0.012658227848101266,1.2658227848101267,2019-02-13
Pine Top Intermediate Horse Trials,-82.46623000000002,33.45322,62.3,0.0,16.7,9.9,18.9,0.04,0.0,0.0,0.0,9,451,0.019955654101995565,1.9955654101995564,2019-02-08
Pine Top Intermediate Horse Trials,-82.46623000000002,33.45322,62.3,0.0,16.7,9.9,18.9,0.04,0.0,0.0,0.0,9,451,0.019955654101995565,1.9955654101995564,2020-02-07
Ocala Winter I Horse Trials,-82.13986,29.05603,75.3,0.21,31.2,9.8,72.2,0.43,0.0,0.05,0.05,13,488,0.02663934426229508,2.663934426229508,2020-02-06
